iter	Passed	Remaining
0	1	123
1	2	114
2	3	111
3	4	100
4	5	97
5	6	95
6	7	93
7	7	91
8	8	89
9	9	87
10	10	86
11	11	85
12	12	84
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	72
26	26	71
27	27	69
28	28	68
29	29	67
30	30	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	60
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	42	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	74	19
79	75	18
80	76	17
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	91	2
97	92	1
98	93	0
99	94	0
