iter	Passed	Remaining
0	148	148061
1	150	75115
2	152	50794
3	154	38550
4	157	31395
5	159	26443
6	161	22877
7	162	20179
8	164	18086
9	165	16379
10	166	14955
11	167	13769
12	168	12769
13	169	11917
14	170	11163
15	170	10508
16	171	9917
17	172	9391
18	172	8917
19	173	8494
20	173	8107
21	174	7755
22	175	7434
23	175	7139
24	176	6869
25	176	6618
26	177	6386
27	177	6170
28	178	5969
29	178	5782
30	179	5607
31	179	5443
32	180	5289
33	181	5145
34	181	5008
35	182	4879
36	182	4757
37	183	4641
38	185	4568
39	186	4464
40	186	4364
41	187	4270
42	187	4179
43	188	4092
44	188	4010
45	189	3931
46	190	3855
47	190	3783
48	191	3713
49	191	3646
50	192	3582
51	193	3519
52	193	3459
53	194	3401
54	194	3345
55	195	3292
56	195	3240
57	196	3190
58	197	3143
59	197	3098
60	198	3056
61	199	3012
62	199	2970
63	200	2928
64	200	2888
65	201	2849
66	201	2811
67	202	2775
68	203	2740
69	203	2705
70	204	2672
71	204	2639
72	205	2607
73	205	2576
74	206	2546
75	206	2516
76	207	2487
77	208	2459
78	208	2431
79	209	2404
80	209	2378
81	210	2353
82	210	2325
83	211	2301
84	211	2278
85	212	2256
86	213	2236
87	213	2215
88	214	2194
89	214	2173
90	215	2152
91	216	2132
92	216	2112
93	217	2093
94	217	2074
95	218	2056
96	218	2038
97	219	2020
98	220	2003
99	220	1986
100	221	1969
101	221	1952
102	222	1936
103	222	1920
104	223	1905
105	224	1889
106	224	1874
107	225	1859
108	225	1845
109	226	1831
110	226	1818
111	227	1805
112	228	1792
113	229	1779
114	229	1767
115	230	1754
116	230	1741
117	231	1729
118	231	1717
119	232	1706
120	233	1695
121	233	1683
122	234	1672
123	235	1661
124	235	1650
125	236	1639
126	236	1627
127	237	1617
128	237	1606
129	238	1596
130	239	1585
131	239	1575
132	240	1565
133	240	1555
134	241	1546
135	241	1536
136	242	1526
137	243	1518
138	243	1509
139	244	1500
140	244	1491
141	245	1481
142	245	1473
143	246	1464
144	246	1456
145	247	1448
146	248	1439
147	248	1431
148	249	1423
149	249	1415
150	250	1407
151	250	1399
152	251	1391
153	251	1383
154	252	1376
155	253	1369
156	253	1361
157	254	1354
158	254	1347
159	255	1340
160	255	1332
161	256	1325
162	256	1318
163	257	1312
164	258	1306
165	258	1300
166	259	1293
167	260	1289
168	261	1283
169	261	1277
170	262	1271
171	262	1265
172	263	1259
173	263	1252
174	264	1246
175	265	1240
176	265	1234
177	266	1229
178	266	1223
179	267	1217
180	267	1211
181	268	1206
182	268	1200
183	269	1194
184	269	1189
185	270	1184
186	271	1180
187	272	1175
188	272	1169
189	273	1164
190	273	1159
191	274	1154
192	274	1149
193	275	1144
194	275	1139
195	276	1134
196	277	1129
197	277	1124
198	278	1119
199	278	1114
200	279	1110
201	279	1105
202	280	1100
203	280	1095
204	281	1091
205	281	1086
206	282	1081
207	282	1077
208	283	1072
209	284	1068
210	284	1064
211	285	1059
212	285	1056
213	286	1052
214	287	1048
215	287	1043
216	288	1039
217	288	1035
218	289	1031
219	289	1027
220	290	1023
221	290	1019
222	291	1015
223	291	1011
224	292	1007
225	292	1003
226	293	999
227	294	995
228	294	991
229	295	988
230	295	984
231	296	980
232	296	976
233	297	973
234	297	969
235	298	966
236	298	962
237	299	958
238	299	955
239	300	952
240	301	949
241	301	945
242	302	942
243	303	938
244	303	935
245	304	932
246	304	928
247	305	925
248	305	922
249	306	918
250	306	915
251	307	912
252	307	909
253	308	905
254	308	902
255	309	899
256	310	896
257	310	893
258	311	890
259	311	887
260	312	884
261	312	881
262	313	878
263	314	875
264	314	872
265	315	869
266	315	867
267	316	864
268	317	861
269	317	858
270	318	856
271	318	853
272	319	850
273	320	848
274	320	845
275	321	842
276	321	839
277	322	836
278	322	834
279	323	831
280	323	828
281	324	826
282	325	823
283	325	820
284	326	818
285	326	815
286	327	812
287	327	810
288	328	807
289	328	804
290	329	802
291	329	799
292	330	797
293	331	795
294	331	792
295	332	790
296	332	787
297	333	785
298	333	782
299	334	780
300	335	778
301	335	775
302	336	773
303	336	770
304	337	768
305	337	766
306	338	763
307	338	761
308	339	758
309	339	756
310	340	754
311	340	751
312	341	749
313	342	747
314	342	745
315	343	742
316	343	740
317	344	738
318	344	736
319	345	733
320	346	732
321	346	730
322	347	727
323	347	725
324	348	723
325	348	721
326	349	719
327	350	717
328	350	715
329	351	713
330	351	710
331	352	708
332	352	706
333	353	704
334	353	702
335	354	700
336	354	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	358	684
344	359	682
345	359	680
346	360	678
347	361	676
348	361	674
349	362	672
350	362	670
351	363	668
352	363	667
353	364	665
354	364	663
355	365	661
356	366	659
357	366	657
358	367	655
359	367	653
360	368	651
361	368	649
362	369	648
363	369	646
364	370	644
365	370	642
366	371	640
367	372	638
368	372	637
369	373	635
370	373	633
371	374	631
372	374	630
373	375	628
374	376	627
375	376	625
376	377	623
377	378	622
378	378	620
379	379	618
380	379	616
381	380	615
382	380	613
383	381	611
384	381	609
385	382	608
386	382	606
387	383	604
388	383	603
389	384	601
390	385	599
391	385	598
392	386	596
393	386	594
394	387	593
395	387	591
396	388	589
397	388	588
398	389	586
399	389	584
400	390	583
401	391	581
402	391	580
403	392	578
404	392	577
405	393	575
406	393	573
407	394	572
408	394	570
409	395	569
410	396	567
411	396	565
412	397	564
413	397	562
414	398	561
415	398	559
416	399	558
417	399	556
418	400	555
419	400	553
420	401	552
421	401	550
422	402	549
423	403	547
424	403	546
425	404	544
426	404	543
427	405	541
428	405	540
429	406	539
430	407	537
431	407	536
432	408	534
433	408	533
434	409	531
435	409	530
436	410	528
437	410	527
438	411	525
439	412	524
440	412	523
441	413	521
442	413	520
443	414	518
444	414	517
445	415	515
446	415	514
447	416	513
448	416	511
449	417	510
450	417	508
451	418	507
452	419	506
453	419	504
